CPU Usage: 33.5% Memory Usage: 70.8%
CPU Usage: 34.4% Memory Usage: 71.0%
CPU Usage: 21.8% Memory Usage: 71.0%
CPU Usage: 25.6% Memory Usage: 70.7%
CPU Usage: 74.7% Memory Usage: 70.7%
CPU Usage: 64.2% Memory Usage: 70.6%
CPU Usage: 49.7% Memory Usage: 70.7%
CPU Usage: 62.5% Memory Usage: 70.7%
CPU Usage: 37.8% Memory Usage: 70.9%
1741739103.597236: CPU Usage: 0.0% Memory Usage: 71.1%
1741739108.5982: CPU Usage: 25.2% Memory Usage: 71.1%
1741739113.5990262: CPU Usage: 24.8% Memory Usage: 71.1%
1741739118.6049626: CPU Usage: 35.9% Memory Usage: 71.1%
1741739123.6434474: CPU Usage: 25.4% Memory Usage: 71.2%
1741739128.644521: CPU Usage: 23.2% Memory Usage: 71.2%
1741739133.6455567: CPU Usage: 26.4% Memory Usage: 71.2%
1741739138.6575563: CPU Usage: 30.1% Memory Usage: 71.2%
1741739143.6583598: CPU Usage: 26.7% Memory Usage: 70.9%
1741739148.660485: CPU Usage: 33.1% Memory Usage: 71.1%
1741739153.6896317: CPU Usage: 32.7% Memory Usage: 71.3%
1741739158.6905663: CPU Usage: 31.5% Memory Usage: 71.7%
1741739163.6914597: CPU Usage: 22.7% Memory Usage: 71.7%
1741739168.6923404: CPU Usage: 23.6% Memory Usage: 71.7%
1741739173.6933203: CPU Usage: 24.6% Memory Usage: 71.7%
1741739178.6940334: CPU Usage: 31.8% Memory Usage: 71.7%
